iter	Logloss
0	0.6667156634
1	0.6457106053
2	0.6277508634
3	0.611548658
4	0.5987661388
5	0.5867306424
6	0.5785325327
7	0.5717879508
8	0.5667806625
9	0.5605683489
10	0.5528789311
11	0.5489665593
12	0.5460299064
13	0.5419735317
14	0.539848333
15	0.5365401125
16	0.5336728024
17	0.5318500496
18	0.5298170074
19	0.5277444738
20	0.5254905535
21	0.5241785168
22	0.5226670692
23	0.5216976322
24	0.5203105736
25	0.5190888498
26	0.5183266211
27	0.5168192082
28	0.516101849
29	0.5151827322
30	0.5138545568
31	0.512230545
32	0.5111844971
33	0.5105996077
34	0.5096760769
35	0.5085604826
36	0.5075208408
37	0.507042154
38	0.506293493
39	0.5055603897
40	0.5045902185
41	0.5040910722
42	0.5035771241
43	0.5029562722
44	0.50249458
45	0.5018944201
46	0.5013040356
47	0.5006096226
48	0.4998801417
49	0.4993551861
50	0.4987686783
51	0.4982764516
52	0.4977507107
53	0.4972251981
54	0.4964165287
55	0.4960025437
56	0.49551051
57	0.4949346961
58	0.4945226765
59	0.493781698
60	0.493071205
61	0.4927821221
62	0.4924171455
63	0.4921537731
64	0.4918049588
65	0.4909584453
66	0.4901654923
67	0.4893890941
68	0.4888337632
69	0.4884454145
