iter	Passed	Remaining
0	2	139
1	4	144
2	5	120
3	6	110
4	8	108
5	10	114
6	11	106
7	13	105
8	14	100
9	15	95
10	16	90
11	17	85
12	18	81
13	19	77
14	20	74
15	21	71
16	22	69
17	25	72
18	26	69
19	26	67
20	27	64
21	28	62
22	29	60
23	30	58
24	31	56
25	32	55
26	33	53
27	34	51
28	35	50
29	36	48
30	37	47
31	38	46
32	39	44
33	40	42
34	41	41
35	42	39
36	43	38
37	43	37
38	44	35
39	46	34
40	47	33
41	48	32
42	49	30
43	50	29
44	50	28
45	51	26
46	52	25
47	53	24
48	54	23
49	55	22
50	56	20
51	57	19
52	58	18
53	58	17
54	59	16
55	60	15
56	61	14
57	62	13
58	63	11
59	64	10
60	65	9
61	66	8
62	67	7
63	68	6
64	70	5
65	72	4
66	73	3
67	74	2
68	74	1
69	75	0
